"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","parameter"
"lambda[155]",0.00365925984846389,6.95422038014488e-05,0.00238988528050122,0.000754216450815774,0.00198227786484059,0.0030878094998411,0.00477743548613417,0.00990153599955018,1181.01988507336,1.00266091578054,"lambda[155]"
"lambda[156]",0.00387630488154988,6.23908576789921e-05,0.00244961769155327,0.000827518063682564,0.00215296274866178,0.00334925227449327,0.00497222445184601,0.0100605320283216,1541.53967979549,1.00145091090255,"lambda[156]"
"lambda[157]",0.0027333205047564,4.76729520514733e-05,0.00183599903152683,0.000533946845974456,0.00145430576981856,0.00231512495487475,0.00352316600324248,0.00748273054341613,1483.20371442714,1.00083383912125,"lambda[157]"
"lambda[158]",0.00676396950205075,0.000103554167943329,0.00486672666408832,0.00121852473583384,0.00353444421206659,0.00560025723156693,0.00875876863593069,0.0193660825000653,2208.71023314827,1.0020266075653,"lambda[158]"
"lambda[159]",0.00302952355187451,6.77418052579225e-05,0.00210550948902177,0.000523606117324712,0.00154800921769059,0.00251069763512318,0.00393376513815066,0.00844514249944038,966.052823140318,1.00316548859625,"lambda[159]"
"lambda[160]",0.00251222188805491,5.65463083388036e-05,0.00181558157046921,0.000409244128118107,0.0012403020974976,0.00207102696128224,0.00330551268610852,0.00726222607433063,1030.91537651939,1.00199306424379,"lambda[160]"
"lambda[161]",0.0032127350439272,5.20787592612521e-05,0.00209759089996004,0.000560396624463501,0.00172534201764554,0.00273705983799807,0.00419947989866213,0.00860479532568133,1622.25948704667,1.00032096937887,"lambda[161]"
"lambda[162]",0.00230135091301799,5.15937356966779e-05,0.00159975401221655,0.000390050790119738,0.00114423522541461,0.00190890044988111,0.00301049257063171,0.00662809254155503,961.418482944803,1.00306836183961,"lambda[162]"
"lambda[163]",0.0045619033019668,9.50364296836254e-05,0.00307406381639672,0.000866889319105715,0.00241407506648161,0.00385445007907479,0.00594398748008844,0.0122988425523513,1046.27424102214,1.00273254120713,"lambda[163]"
"lambda[164]",0.00212469199921067,5.36532385069025e-05,0.00158411327275718,0.00030974193608994,0.00100990473499033,0.00171512728771042,0.00281684906079773,0.00623438975385905,871.727172249399,1.00193674921172,"lambda[164]"
"lambda[165]",0.00867894793846282,0.000156247379600261,0.00556935232684077,0.00196107013995273,0.00486434634545273,0.00740706597093392,0.0110557838476377,0.0228483881564447,1270.52700608352,1.00175333384387,"lambda[165]"
"lambda[166]",0.00121704502551057,3.70724115408329e-05,0.0011224314884873,0.000130317818689085,0.000486702488973903,0.00089726803439143,0.00156082589983051,0.00413535299510018,916.680532731399,1.00243110281817,"lambda[166]"
"lambda[167]",0.00541786635918423,7.05780555263651e-05,0.0044266900542665,0.000892951731156419,0.00255361925988593,0.00418756398219947,0.00697590885792087,0.0165964624478612,3933.85956085919,0.999763928426345,"lambda[167]"
"lambda[168]",0.00169823150718757,4.32238032793682e-05,0.00129133670731769,0.00024707442044015,0.000799153634533606,0.00137438865963109,0.0022210888304403,0.00507303022443212,892.550991620589,1.00287511865883,"lambda[168]"
"lambda[169]",0.00107115153945434,8.90602535398477e-05,0.00246424033071271,1.99283206337165e-10,2.4575150891219e-06,0.00011026180711765,0.00100061744234773,0.00777983041787173,765.593553537695,1.00207816337576,"lambda[169]"
"lambda[170]",0.00805668823045539,0.000104089935709635,0.00527651576433992,0.00190450318472877,0.00452560810425704,0.006839100399059,0.0101819897923171,0.0213025620456305,2569.66789998821,1.0013564780417,"lambda[170]"
"lambda[171]",0.00153311964132713,3.23590405168991e-05,0.00113337258309984,0.000239956977750826,0.000741092728818655,0.00123211709165125,0.00199597541767019,0.00444765711523266,1226.74453981882,1.00122986263007,"lambda[171]"
"lambda[172]",0.00876357656996968,0.000163588164713687,0.00566757040819958,0.00206540521195877,0.00491561329712403,0.00751143437609366,0.0110272509195431,0.0233222479423825,1200.30077890475,1.00237243420885,"lambda[172]"
"lambda[173]",0.0034359704830772,7.02243920404365e-05,0.00236464162345372,0.000583297984060138,0.00178127864908664,0.00286106268451865,0.00447708144091336,0.00950888191412546,1133.84759663486,1.00100313191664,"lambda[173]"
"lambda[174]",0.00343606019999895,6.99497543713263e-05,0.00294077027700408,0.00044331833227873,0.00152753970431833,0.00268252564420153,0.00447492596968524,0.0105473752564044,1767.46089094795,0.999885757124382,"lambda[174]"
"lambda[175]",0.0209260602806547,0.000269070140919116,0.0138260117729277,0.00540862724433399,0.0117309029212033,0.0173572117201928,0.026209454642023,0.0567533703731656,2640.35810024454,1.00084406935916,"lambda[175]"
"lambda[176]",0.00435719440512655,7.85575718539608e-05,0.0027738232955269,0.000945896142740496,0.00240627031423016,0.00373823458224277,0.00555574244166949,0.0113529569990885,1246.75603676346,1.00106953836111,"lambda[176]"
"lambda[177]",0.00628855810042366,9.70470621729403e-05,0.00398676426685286,0.0014463577255786,0.00364921960950333,0.00542461614358997,0.00794802376807158,0.0162268074449275,1687.62646913394,1.00052154748992,"lambda[177]"
"lambda[178]",0.00455522195876746,8.60026460870584e-05,0.00301692654933372,0.000935116028323014,0.00245803711334271,0.003845590639335,0.00585134210639936,0.0121571568532954,1230.5686493338,1.0018793078729,"lambda[178]"
"lambda[179]",0.00351921926545466,7.17675953642567e-05,0.00236659968820712,0.00065205533904924,0.00189164376112745,0.00296354338044336,0.00452467997351151,0.00958532201035467,1087.4087312359,1.00212406243695,"lambda[179]"
"lambda[180]",0.00101581988216584,3.34220246412018e-05,0.00100583766686019,9.49885215304024e-05,0.00038967493641619,0.000730245104520406,0.00128791933242065,0.00367228070713958,905.712330179714,1.00212326069081,"lambda[180]"
"lambda[181]",0.00504511802157896,0.000104033017591507,0.00330119047899043,0.00101598754964693,0.00277254027943061,0.00426970161205658,0.00647347693749209,0.0132381591922005,1006.92883108168,1.0019636361388,"lambda[181]"
"lambda[182]",0.0114100293175798,0.000256418279426963,0.00788472337909009,0.00233635214995154,0.00607226671527685,0.00941106332742374,0.0145525712173935,0.031129298269469,945.529230951263,1.00421010123385,"lambda[182]"
"lambda[183]",0.00269284833034392,7.10866426237662e-05,0.00257216875090086,0.000293098475671094,0.00105312515215589,0.00193977204543963,0.00342008694650552,0.00937608778560123,1309.25098375318,1.00202365632784,"lambda[183]"
"lambda[184]",0.0064129516516176,9.78256650892448e-05,0.00453285039177111,0.00123861017202504,0.00333056912704629,0.00529773972907463,0.00829956245903975,0.0178211289795873,2147.02525048244,1.00126298980966,"lambda[184]"
"lambda[185]",0.00369535165307994,6.03824269778847e-05,0.00247057423742881,0.00071282400666347,0.00198191442645534,0.00309483569673293,0.0047810530219374,0.0100460250691205,1674.07413751827,1.00325405995149,"lambda[185]"
"lambda[186]",0.0055592629144576,0.000124977071278799,0.00780297734623363,0.000357675587374945,0.00177300584481726,0.00347242635653826,0.00661975660052752,0.0228964605744784,3898.16309697156,1.00112719860001,"lambda[186]"
"lambda[187]",0.00118387211143995,3.10309861279996e-05,0.000983369343381753,0.000152914198424848,0.000524279175722135,0.000915157106748974,0.00154656997336046,0.00378963981042136,1004.25077524613,1.00153510548156,"lambda[187]"
"lambda[188]",0.00555227776306205,8.48304750343813e-05,0.00359870977266687,0.00118177298350162,0.00305146789777013,0.00472010533273521,0.00704680041258298,0.0149929962655993,1799.65744989503,1.00196792756034,"lambda[188]"
"lambda[189]",0.00453194975573006,6.7377988371205e-05,0.00382646269931756,0.0007375060419021,0.00213152927013406,0.00353122144531054,0.00574549646988648,0.0142432815715042,3225.21660503805,1.00194680195807,"lambda[189]"
"lambda[190]",0.00797445715710029,8.31391056939987e-05,0.00480426625384035,0.00207469485990998,0.00465151303675644,0.00682065017559056,0.0100409488309139,0.0204271654958857,3339.20774513163,1.00040937106178,"lambda[190]"
"lambda[191]",0.00256522764295973,4.78819475925142e-05,0.00200457273022073,0.000407546310962401,0.00123885577284669,0.00204903709084805,0.00331526636581749,0.00775798856423171,1752.66947159506,1.00196412351664,"lambda[191]"
"lambda[192]",0.00292602740641623,7.16796381488342e-05,0.00267063466597689,0.000303637128713176,0.00116357295810024,0.00217209672458184,0.00374884943663302,0.0100579798834348,1388.15306242192,1.00199209652862,"lambda[192]"
